year,prg_id,gakju
2020-04-10 17:51:45.652000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-06-04 15:03:25.886000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-08-05 15:41:33.291000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-05-14 16:16:18.947000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-07-19 10:42:30.294000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-07-19 16:57:24.007000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-10-29 10:36:09.323000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-10-29 10:43:09.248000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2019-10-29 10:39:24.038000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-08-13 19:19:52.620000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-20 09:49:18.453000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-20 09:49:26.955000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-08-13 19:35:52.429000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-20 09:50:24.819000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-17 22:47:56.428000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2020-04-20 09:49:34.441000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-20 09:49:43.234000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-08-13 19:04:22.466000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-08-13 19:35:08.583000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-08-13 19:35:18.073000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-20 09:50:32.791000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-20 09:50:39.930000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-06-07 10:58:37.117000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-20 09:51:04.347000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-06-04 10:25:49.282000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-20 09:51:28.291000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-04-20 09:51:37.563000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2020-08-12 17:18:12.542000,YYYY-MM-DD HH24:MI:SS.FF,univ00
