year,univ_cd,insa_cd,chucheon_gwonhan_yn,geobu_gwonhan_yn,gwonhan_etc_txt
2019,UNIV05,3,1,0,
2019,UNIV05,1,1,0,
2019,UNIV05,2,1,0,
2020-08-13 16:03:27.250000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2020-08-13 16:03:27.266000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2020-08-13 16:03:27.266000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2020-08-13 19:36:34.058000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,
2020-08-13 19:17:58.277000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,
2020-08-13 19:36:34.058000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,
2020-08-13 19:17:58.277000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,
2019,UNIV13,2,1,0,
2019,UNIV13,1,1,0,
2019,UNIV13,3,1,0,
2019,UNIV23,1,1,1,인사위원회 당연직 위원장 수행
2019,UNIV23,2,1,1,업적평가위원회 당연직 위원장 수행
2019,UNIV23,3,1,1,업적평가위원회 당연직 위원 수행
2019,UNIV31,1,1,0,
2019,UNIV31,2,1,0,
2019,UNIV31,3,1,0,
2019,UNIV34,2,1,0,
2019,UNIV34,5,0,0,
2019,UNIV34,1,1,0,
2019,UNIV34,4,0,0,
2019,UNIV34,3,1,0,
2019,UNIV41,4,1,0,
2019,UNIV41,5,1,0,
2019,UNIV41,3,1,0,
2019,UNIV41,1,1,1,
2020-12-03 15:48:18.595000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-19 13:21:23.757000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-19 13:21:23.763000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-19 13:21:23.765000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-19 13:21:23.768000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-19 13:21:23.770000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-19 14:19:55.159000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,
2019-08-19 14:19:55.162000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,
2019-08-19 14:19:55.163000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,
2019-08-21 14:10:58.442000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2019-08-21 14:10:58.442000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2019-08-21 14:10:58.442000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2019-08-21 14:10:58.442000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2019-08-21 14:10:58.457000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2019-08-21 15:56:43.976000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-08-21 15:56:43.976000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-08-21 15:56:43.976000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-08-30 08:59:17.352000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,
2019-08-30 08:59:17.355000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,
2019-09-04 16:37:35.064000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2019-09-04 16:37:35.071000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2019-09-04 16:37:35.073000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2019-09-04 16:37:35.075000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2019-09-04 16:37:35.077000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2019-09-05 14:57:19.248000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2019-09-05 14:57:19.251000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2019-09-05 14:57:19.253000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2019-09-05 14:57:19.254000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2019-09-05 14:57:19.257000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2019-09-27 17:08:59.439000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-27 17:08:59.444000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-27 17:08:59.446000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-27 17:08:59.448000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-27 17:08:59.450000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2020-02-06 09:03:29.282000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2020-02-06 09:03:29.282000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2020-02-06 09:03:29.282000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2020-02-06 09:03:29.282000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2020-02-06 09:03:39.191000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2019,UNIV10,3,1,0,
2019,UNIV10,2,1,0,
2019,UNIV10,1,1,0,
2019-07-25 14:03:12.932000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-07-25 14:03:12.932000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-07-25 14:03:12.932000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-07-25 14:03:12.932000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-07-25 14:03:12.948000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-22 15:53:33.163000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-08-22 15:53:33.167000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-08-22 15:53:33.169000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-08-23 17:07:16.182000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2019-08-23 17:07:16.182000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2019-08-23 17:07:16.182000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2019-08-23 17:09:39.217000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
