year,univ_cd,jaejeong_cd,jaejeong_gwonhan_yn,gwonhan_etc_txt
2020-08-13 19:22:26.726000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,
2020-08-13 19:22:20.364000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,
2019,UNIV13,1,1,
2019,UNIV13,2,1,
2020-08-22 18:12:04.387000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,
2020-08-22 18:12:04.387000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,
2019,UNIV31,1,1,
2019,UNIV31,2,1,
2019,UNIV05,1,1,
2019,UNIV05,2,1,
2019,UNIV34,1,1,
2019,UNIV34,2,1,
2019,UNIV33,1,1,
2019,UNIV33,2,1,
2019,UNIV25,1,1,
2019,UNIV25,2,1,
2019,UNIV41,1,1,
2019,UNIV41,2,1,
2020-02-12 16:02:27.422000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,
2020-02-12 16:02:27.422000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,
2019-08-27 15:41:48.902000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,
2019-08-27 15:41:48.905000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,
2019-08-19 13:21:30.811000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,
2019-08-19 13:21:30.834000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,
2019-08-21 15:57:32.254000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,
2019-08-21 15:57:32.254000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,
2019-08-30 16:52:16.105000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,
2019-08-30 16:52:16.110000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,
2019-09-02 17:50:11.362000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,
2019-09-02 17:50:20.094000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,
2019-09-04 16:38:53.044000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,
2019-09-04 16:38:53.050000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,
2019-09-05 14:58:40.484000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,
2019-09-05 14:58:40.489000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,
2019-09-23 14:22:48.025000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,
2019-09-23 14:22:48.044000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,
2020-02-07 14:46:14.337000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,
2019,UNIV10,2,1,
2019,UNIV10,1,1,
2019-08-22 15:54:18.351000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,
2019-08-22 15:54:18.354000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,
2019-08-23 17:08:40.100000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,
2019-08-23 17:08:40.100000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,
2019-08-28 18:58:42.972000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,
2019-08-28 18:58:42.978000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,
2019-08-30 09:17:14.600000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,
2019-08-30 09:17:14.602000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,
2019-08-30 17:34:22.887000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,
2019-09-26 18:32:40.571000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,
2019-09-26 18:32:40.575000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,
2020-02-07 14:42:30.349000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,
2019-07-24 17:46:32.458000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,
2019-07-24 17:46:32.458000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,
2019-08-19 13:52:14.704000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,
2019-08-19 13:52:14.707000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,
2019-08-19 16:47:43.050000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,
2019-08-19 16:47:43.065000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,
2019-08-21 14:16:30.744000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,
2019-08-21 14:16:30.744000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,
2019-08-21 16:39:56.044000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,
2019-08-21 16:39:56.059000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,
2019-08-23 14:40:33.524000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,
2019-08-23 14:40:33.524000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,
2019-09-16 17:40:32.871000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,
2019-09-16 17:40:32.894000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,
2020-02-03 16:07:32.708000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,
2020-02-03 16:07:32.708000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,
2019-10-31 10:46:21.249000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,
2019-10-31 10:46:21.265000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,
