year,univ_cd,gyogwa_unyoung_gb,euiye_1_yn,euiye_2_yn,euihak_1_yn,euihak_2_yn,euihak_3_yn,euihak_4_yn
2019,UNIV37,1,1,1,1,1,1,1
2019,UNIV06,1,1,1,1,1,0,0
2019,UNIV06,3,0,0,0,0,1,1
2020-08-24 09:31:26.922000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2020-09-15 15:57:37.612000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2020-09-15 15:57:37.612000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2019,UNIV04,3,0,0,0,0,1,0
2020-09-21 13:53:28.897000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2020-10-05 12:34:12.104000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2020-10-05 12:34:12.104000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2019,UNIV25,1,0,0,1,1,0,0
2019,UNIV25,3,0,0,0,0,1,1
2020-08-18 10:46:46.366000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,
2019,UNIV15,1,1,1,1,1,0,1
2019,UNIV15,3,0,0,0,0,1,0
2020-02-13 10:42:57.002000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2020-02-13 10:42:57.002000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2019-08-29 20:16:26.271000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,
2019-08-20 11:30:07.715000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,
2019-08-21 16:48:01.237000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,
2019-08-21 16:48:01.237000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,
2019-08-21 17:05:01.884000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,
2019-08-29 16:33:18.095000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2019-08-29 16:33:18.097000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2019-08-30 18:14:16.347000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,
2020-09-15 15:57:55.761000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2020-09-15 15:57:55.761000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2019-09-05 14:11:32.210000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2019-09-10 11:45:10.262000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
