year,univ_cd,gyoyuk_jusu_gb,gaeseol_hakgi_gb,gyoyuk_jusu_euiye_1,gyoyuk_jusu_euiye_2,gyoyuk_jusu_euihak_1,gyoyuk_jusu_euihak_2,gyoyuk_jusu_euihak_3,gyoyuk_jusu_euihak_4
2019,UNIV37,1,2,15,15,17,19.5,17,4
2019,UNIV37,2,2,1,1,,,,
2019,UNIV37,1,1,15,15,19,19,16,20
2019,UNIV37,2,1,1,1,,,,
2019,UNIV06,1,2,13,13,,,,2
2019,UNIV06,2,1,2,2,20,19,20,21
2019,UNIV06,2,2,2,2,,,3,
2019,UNIV06,1,1,13,13,18,21,23,23
2020-08-24 09:31:42.790000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2020-08-24 09:31:42.790000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2020-08-24 09:34:03.183000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2020-08-24 09:34:03.183000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2020-09-15 15:58:52.736000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2019,UNIV04,2,2,2,,,,,
2019,UNIV04,2,1,2,,,,,
2020-09-15 15:58:52.736000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2020-09-16 17:03:22.554000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2020-09-16 17:03:22.554000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2020-09-21 14:01:02.437000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,
2020-09-21 14:01:02.437000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,
2019,UNIV25,1,1,15,15,21,23,,
2019,UNIV25,1,2,15,15,23,22,,
2019,UNIV25,2,1,1,1,,,,
2019,UNIV25,2,2,1,1,,,,
2020-02-13 10:42:57.018000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,
2020-02-13 10:42:57.018000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,
2020-02-13 10:42:57.018000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,
2020-02-13 10:42:57.018000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,
2019-08-27 14:57:51.871000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,
2019-08-27 14:57:51.896000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,
2019-08-27 14:57:51.898000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,
2019-08-27 14:57:51.900000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,
2019-08-27 16:46:21.768000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,
2019-08-27 16:51:50.739000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,
2019-08-27 16:46:21.773000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,
2019-08-27 16:46:21.776000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,
2019-08-22 13:27:55.944000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2019-08-22 13:27:55.947000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2019-08-20 11:31:15.208000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
2019-08-20 11:31:15.208000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
2019-08-19 11:02:21.326000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
2019-08-19 11:02:21.328000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
