year,univ_cd,hakgwa_gb,gwamok_seq,gwamok_nm,pilsu_gb,gaeseol_grade,gaeseol_hakgi_gb,edu_time_gangeui,edu_time_silseup,edu_time_tot,hakjeom,tonghap_gwamok_yn,edu_cont1_gb,edu_cont2_gb,edu_cont3_gb,edu_cont4_gb,exam_jipil_yn,exam_quiz_yn,exam_gudu_yn,exam_gwaje_yn,exam_gita_yn,edu_time_pbl
2019,UNIV10,1,1,일반물리학 및 실험,1,1,1,32,32,64,3,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,2,일반화학 및 실험,1,1,1,32,32,64,3,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,3,일반생물학 및 실험,1,1,1,32,32,64,3,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,4,세포생물학,1,1,2,45,,45,3,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,5,유기화학,1,1,2,45,,45,3,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,6,의학물리,1,1,2,45,,45,3,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,7,인체발생학,1,1,2,16,,16,1,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,8,의학통계학,1,1,2,24,24,52,2,0,1,0,0,0,1,0,0,0,1,4
Q1),1,2,1,32,32,2,0,1,,0,0,0,0,0,0,0,1,,,,,
Q1),1,2,1,32,32,2,0,1,,0,0,0,1,0,0,0,1,,,,,
2019,UNIV10,1,11,의학용어,1,2,1,32,,32,2,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,12,임상영어회화 I,1,2,1,,,16,1,0,0,0,0,1,0,0,0,0,1,16
Q1),1,2,1,6,12,12,30,2,0,0,0,0,1,0,0,0,1,,,,,1
Q1),1,2,1,30,30,2,0,1,,0,0,0,1,0,0,0,1,,,,,
학술제),1,2,1,32,32,2,0,,1,0,0,0,0,0,0,0,1,,,,,
Q2),1,2,1,90,90,6,0,,,0,0,1,0,0,0,0,1,,,,,0
2019,UNIV10,1,17,임상영어회화 II,1,2,2,,,16,2,0,0,0,0,1,0,0,0,0,1,16
2019,UNIV10,1,18,인체의 정상기능,1,2,2,58,12,71,4,0,1,0,0,0,1,0,0,0,1,1
2019,UNIV10,1,19,의생명 분자생물학,1,2,2,35,19,54,4,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,20,면역생물학,1,2,2,14,12,26,2,0,1,0,0,0,1,0,0,0,1,
2019,UNIV10,1,21,인문융합-융합과통섭으로 본 의과학 발달사,1,2,1,14,,24,2,0,0,0,1,0,0,0,0,0,1,10
2019,UNIV10,1,22,인문융합-생명과 윤리,1,2,2,12,,24,2,0,0,0,1,0,0,0,0,0,1,12
임상학 개설),0,2,2,8,40,48,2,0,,0,0,1,0,0,0,0,1,,,,,0
동양의학의 이해),0,2,2,16,12,28,2,0,,0,1,0,1,0,0,0,1,,,,,0
1인1기) I,II,III,IV,0,1,2,1,,,32,32,2,0,0,0,0,1,0,0,0,0,2
신경해부 포함),1,1,1,47,43,5,95,4,0,0,0,0,1,0,0,0,1,,,,,1
신경생리 포함),1,1,1,25,0,0,25,1,0,0,0,0,1,0,0,0,1,,,,,1
2019,UNIV10,2,3,인체의 구조 II,1,1,1,35,90,125,5,0,1,0,0,0,1,0,0,0,1,0
