year,univ_cd,gicho_imsang_gb,gwamok_seq,gwamok_nm,pilsu_gb,hakgwa_gb,gaeseol_grade_gb,gaeseol_hakgi_gb,hakjeom,tot_silseup_jusu,tot_silseup_time,tot_silseup_time_busok_hosp,tot_silseup_time_pagyeon_hosp,tot_silseup_time_bogeonso,tot_silseup_time_1cha_gigwan,tot_silseup_time_gita,sub_intern_yn,sulgi_pyeongga_yn,jinryo_pyeongga_yn,gwaje_pyeongga_yn,chulseok_pyeongga_yn,portpolio_pyeongga_yn,gita_pyeongga_yn,sub_intern_tot_jusu,upd_ip,ins_ip,ins_date,ins_man,upd_date,upd_man
2020-08-24 09:53:07.474000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.474000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.474000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.474000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.474000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.490000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.490000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.490000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.490000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.490000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.490000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.490000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.505000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.505000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-08-24 09:53:07.505000,YYYY-MM-DD HH24:MI:SS.FF,univ28,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,
