year,univ_cd,gaeseol_grade_gb,cpx_gyoyuk_time,osce_gyoyuk_time,cpx_student_time,osce_student_time,ins_ip,ins_date,ins_man,upd_ip,upd_date,upd_man,bigo,imsang_gyoyuk_time
2020-08-24 09:59:34.528000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,,,,
2020-08-24 09:59:34.528000,YYYY-MM-DD HH24:MI:SS.FF,univ28,0.1,,,,,,,,,,,
2020-08-24 09:59:34.528000,YYYY-MM-DD HH24:MI:SS.FF,univ28,0.1,0.1,,,,,,,,,,
2019,UNIV24,5,504,448,1,0.9,,,,,,,,
2019,UNIV24,3,0,0,0,0,,,,,,,,
2019,UNIV24,4,0,0,0,0,,,,,,,,
2019,UNIV24,6,133,190,0.3,0.4,,,,,,,,
2020-09-16 14:30:25.341000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,0.1,,,,,,,,,,
2019,UNIV23,5,30,,0.6,,,,,,,,,
2019,UNIV23,3,0,0,0,0,,,,,,,,
2019,UNIV23,4,45,45,0.9,0.9,,,,,,,,
2019,UNIV23,6,30,30,0.6,0.6,,,,,,,,
2020-12-31 11:26:03.455000,YYYY-MM-DD HH24:MI:SS.FF,univ13,0.1,0.7,,,,,,,,,,
2020-12-31 11:26:03.457000,YYYY-MM-DD HH24:MI:SS.FF,univ13,2.7,3.1,,,,,,,,,,
2020-11-12 10:24:37.171000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0.1,0.1,,,,,,,,,,
2020-11-12 10:24:37.173000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0.1,0.1,,,,,,,,,,
2020-11-12 10:24:37.175000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0.1,0.1,,,,,,,,,,
2020-11-12 10:24:37.176000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0,0,,,,,,,,,,
2019,UNIV25,5,89,111,2.4,3,,,,,,,,
2019,UNIV25,6,63,40,1.4,0.9,,,,,,,,
2020-02-12 17:09:40.213000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,,,,,,
2020-02-12 17:09:40.213000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,,,,,,
2020-02-12 17:09:40.213000,YYYY-MM-DD HH24:MI:SS.FF,univ08,0.1,0.1,,,,,,,,,,
2020-02-12 17:09:40.213000,YYYY-MM-DD HH24:MI:SS.FF,univ08,0,0,,,,,,,,,,
2020-02-14 10:12:25.267000,YYYY-MM-DD HH24:MI:SS.FF,univ10,0.6,,,,,,,,,,,
2019-09-27 09:38:39.158000,YYYY-MM-DD HH24:MI:SS.FF,univ04,0.3,0.1,,,,,,,,,,
2019-08-20 09:41:17.854000,YYYY-MM-DD HH24:MI:SS.FF,univ31,0,0,,,,,,,,,,
2019-08-20 09:41:17.885000,YYYY-MM-DD HH24:MI:SS.FF,univ31,0,0,,,,,,,,,,
2019-08-20 11:25:56.932000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,,,,,,
2019-08-20 16:06:29.416000,YYYY-MM-DD HH24:MI:SS.FF,univ31,1,0.9,,,,,,,,,,
2019-08-20 16:12:40.166000,YYYY-MM-DD HH24:MI:SS.FF,univ31,0.3,0.4,,,,,,,,,,
2019-08-22 11:32:59.763000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,
2019-08-22 11:32:59.763000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,
2019-08-22 11:32:59.763000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,
2019-08-22 11:32:59.763000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,
2019-08-30 18:55:04.718000,YYYY-MM-DD HH24:MI:SS.FF,univ03,0.4,0.4,,,,,,,,,,
2019-08-30 18:55:04.721000,YYYY-MM-DD HH24:MI:SS.FF,univ03,0.4,0.4,,,,,,,,,,
2019-09-04 17:20:21.401000,YYYY-MM-DD HH24:MI:SS.FF,univ40,0,,,,,,,,,,,
2019-09-04 17:20:21.568000,YYYY-MM-DD HH24:MI:SS.FF,univ40,0,,,,,,,,,,,
2019-09-05 16:26:41.016000,YYYY-MM-DD HH24:MI:SS.FF,univ32,0,0,,,,,,,,,,
2019-09-05 16:26:41.019000,YYYY-MM-DD HH24:MI:SS.FF,univ32,0,,,,,,,,,,,
2019-09-19 13:45:12.303000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,0,,,,,,,,,,
