year,univ_cd,buseo_seq,buseo_nm,inwon_gyosu_jeonim,inwon_hengjeong,inwon_tot,inwon_gyosu_gyeomim,inwon_gita,inwon_gyosu_yeongu
2020-08-24 10:01:50.445000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,
2020-08-27 17:27:39.000000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,
2019,UNIV31,1,의학교육지원실,2,1,3,,,
2020-09-15 14:46:35.688000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2020-09-15 16:18:43.275000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2020-09-16 13:19:55.156000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2020-09-21 14:21:11.671000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,
2019,UNIV34,1,의학교육학교실,1,1,2,,,
2020-09-22 20:14:06.053000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,
2020-11-19 13:47:52.995000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
2020-11-19 13:47:52.999000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
2020-12-31 09:48:42.791000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2020-12-31 09:32:07.101000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2021-05-04 09:34:56.313000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2021-05-04 09:34:18.717000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2019,UNIV25,1,의학교육실,1,1,2,,,
2020-01-29 14:28:31.945000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,
2020-01-29 14:28:12.233000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,
2020-02-12 14:26:35.634000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,
2020-02-12 14:26:35.634000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,
2020-02-12 14:26:35.634000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,
2019-08-23 09:25:30.307000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2019-08-19 17:08:56.778000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,
2019-09-30 15:32:26.287000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
