year,univ_cd,deungrok_gb,namyeo_gb,inwon_euiye_11,inwon_euiye_12,inwon_euiye_21,inwon_euiye_22,inwon_euihak_11,inwon_euihak_12,inwon_euihak_21,inwon_euihak_22,inwon_euihak_31,inwon_euihak_32,inwon_euihak_41,inwon_euihak_42,inwon_tot,inwon_woiguk
2020-09-10 13:37:03.871000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,,,,,,,,,
2020-09-10 13:42:59.230000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,,,,,,,,,
2019,UNIV11,3,2,14,14,13,14,13,13,9,9,13,13,14,14,153,0
2019,UNIV11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,,
2019,UNIV11,3,1,31,31,28,26,26,26,35,35,25,25,22,22,332,0
2020-09-10 13:42:59.230000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,,,,,,,,,
2020-09-10 15:39:26.471000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,,,,,,,,,
2020-09-10 13:42:59.246000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,,,,,,,,,
2019,UNIV11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-09-10 15:39:26.471000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,,,,,,,,,
2021-10-14 13:10:38.995000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,,,,,,,
2021-10-14 13:10:38.995000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,,,,,,,
2020-09-18 17:25:38.102000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,,,,,,,
2020-09-18 17:26:56.219000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,,,,,,,
2020-09-18 17:28:19.031000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,,,,,,,
2020-09-18 17:28:19.046000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,,,,,,,
2020-09-23 14:06:43.729000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,,,,,,,,,
