year,univ_cd,janghak_gb,suhye_inwon_tot_euihak,suhye_amt_tot_euihak,suhye_inwon_tot_euiye,suhye_amt_tot_euiye,euiye_bigo,euihak_bigo
2020-09-22 14:48:09.177000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2020-09-22 14:48:09.177000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2020-09-22 14:48:09.177000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2021-08-11 15:30:12.717000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:30:12.719000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:33:00.672000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:33:00.675000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:33:00.677000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2019,UNIV25,1,1,18056,,,,
2019,UNIV25,2,80,368622,,,,
2019,UNIV25,3,29,97666,,,,
2020-08-24 09:14:12.500000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2020-08-24 09:14:12.500000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2020-08-24 09:14:12.500000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2020-09-17 15:08:42.243000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2020-09-17 15:08:42.243000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2020-09-17 15:08:42.227000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2020-09-16 11:43:18.258000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,
2020-09-16 11:44:49.089000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,
2020-09-16 11:39:17.765000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,
2021-08-11 15:31:51.293000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:31:51.291000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:31:51.295000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2020-02-27 17:46:36.332000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2020-01-07 16:58:17.491000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2020-01-07 16:58:17.487000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2020-01-07 16:58:17.493000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2019-08-20 13:45:18.268000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2019-08-20 13:45:18.268000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2019-08-20 13:45:18.268000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2019-08-30 14:37:19.872000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,
2019-08-30 14:37:19.884000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,
2019-08-30 14:37:19.898000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,
2019-08-30 21:07:58.632000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,
2019-08-30 21:07:58.635000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,
2019-08-30 21:07:58.637000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,
2019-09-02 17:12:20.453000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,
2019-09-02 17:12:20.456000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,
2019-09-02 17:12:20.458000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,
2020-01-08 16:45:56.281000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2020-01-08 16:45:56.281000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2020-01-08 16:45:56.281000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2019-09-05 17:55:54.406000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,
2019-09-05 17:55:54.409000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,
2019-09-05 17:55:54.411000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,
2020-01-08 08:46:54.679000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,
