year,univ_cd,inwon_intern,inwon_gun_ipdae,inwon_michuiup,inwon_gita,inwon_tot,inwon_daehakwon_gicho,inwon_gaewon,inwon_daehakwon_tabunya,inwon_hewoi_jinchul,inwon_misang
2020-09-10 13:56:47.594000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,,,
2020-09-21 15:49:57.637000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,
2020-09-22 09:32:00.502000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,,,
2019,UNIV05,67,20,5,6,98,,,,,
2019,UNIV14,139,,,10,150,1,,,,
2020-09-16 11:15:57.243000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,
2020-09-17 15:09:12.859000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,
2020-12-31 11:08:13.664000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,
2020-12-04 09:59:25.426000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,,,
2020-01-29 15:55:24.436000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,
2020-11-20 15:42:43.891000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,
2019-08-27 17:19:13.430000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,
2019-08-19 13:46:12.801000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,
2019-08-20 13:45:58.227000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,
2019-08-29 20:04:58.821000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,
2019-08-31 17:37:13.547000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,
2019-09-04 17:46:20.351000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,,,
2019-09-05 10:54:50.245000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,,,
2019-09-10 17:07:31.359000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,
2019-09-17 11:22:21.993000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,
2020-02-10 14:49:11.152000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,,,
2019-08-22 13:44:45.703000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,
2019-09-09 10:42:41.395000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,
2021-04-30 16:11:53.584000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,
2019-09-04 11:05:13.118000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,
2019-09-04 15:26:06.155000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,
2019-09-26 14:27:46.318000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,
2019-09-27 14:56:14.306000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,
2019-08-27 13:27:20.533000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,,,
2021-09-24 16:37:14.215000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,
2019-09-11 11:29:17.446000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,
2019,UNIV10,30,10,,,43,,3,,,
2019-11-12 16:41:11.611000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,
2020-01-10 10:22:40.570000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,
2019-08-08 16:44:55.869000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,,,,
2019-07-15 09:58:54.474000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,,,
2019-08-01 15:18:17.203000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,,,
2019-08-05 13:43:43.150000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,
2019-08-07 15:02:36.774000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,,,
2019-08-16 15:27:42.678000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,,,
2020-11-13 16:00:49.279000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,
2020-11-09 10:19:44.964000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,
2020-09-25 14:33:31.561000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,
2020-08-11 15:58:29.304000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,,,
2020-11-03 10:29:12.978000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,,,
2020-10-05 10:47:24.268000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,
2020-09-08 15:49:19.556000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,
2020-09-18 17:38:25.351000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,
2020-10-22 10:18:32.031000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,,,
2020-10-23 12:24:55.370000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,
2020-10-28 14:30:07.498000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,
2020-09-10 09:09:43.376000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,,,
2020-09-11 15:05:36.811000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,
2021-09-15 17:59:03.075000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,,,
2021-04-23 11:39:16.716000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,,,
