year,univ_cd,hospital_seq,hospital_nm,hospital_juso,daepyo_tel_no,bed_cnt,hospital_gb,ins_ip
2019,UNIV14,2,서울특별시보라매병원,서울시 동작구 보라매로 5길 20,02-870-2114,763,1,
2020-09-22 14:56:05.020000,YYYY-MM-DD HH24:MI:SS.FF,univ18,1,,,,,
2020-09-22 14:56:05.020000,YYYY-MM-DD HH24:MI:SS.FF,univ18,1,,,,,
2020-09-24 10:12:56.917000,YYYY-MM-DD HH24:MI:SS.FF,univ08,1,,,,,
2020-09-24 10:12:56.917000,YYYY-MM-DD HH24:MI:SS.FF,univ08,1,,,,,
2019,UNIV04,1,건양대학교병원,대전 서구 관저동로 158,1577-3330,,1,
2019,UNIV05,1,칠곡경북대학교병원,대구 북구 호국로 807,1566-2500,557,1,
2019,UNIV05,2,경북대학교 병원,대구 중구 동덕로 130,1666-5114,842,1,
2020-10-05 16:47:13.955000,YYYY-MM-DD HH24:MI:SS.FF,univ30,1,,,,,
2019,UNIV25,1,제주대학교 병원,제주시 아란13길 14 제주대학교 병원,064-717-1100,500,1,
대흥동),1577-0888,666,1,,,,,
2019,UNIV21,1,강릉아산병원,강원도 강릉시 사천면 방동길 38 강릉아산병원,033-610-3114,825,1,
2019,UNIV21,2,울산대학교병원,울산광역시 동구 전하1동 방어진순환도로 877 울산대학교병원,052-250-7000,913,1,
2019,UNIV21,3,서울아산병원,05505 서울특별시 송파구 올림픽로 43길 88 서울아산병원,1688-7575,2705,1,
2019,UNIV24,1,전남대학교병원,광주 동구 제봉로 42,1899-0000,1087,1,
2019,UNIV24,2,화순전남대학교병원,화순군 화순읍 서양로 322,1899-0000,684,1,
2019,UNIV24,4,,,,,1,
2020-09-10 08:46:20.876000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2020-09-10 08:46:20.876000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2020-09-10 08:46:20.892000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2020-09-16 16:38:40.390000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2020-09-17 08:35:25.933000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2020-09-16 16:38:40.390000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2020-09-17 08:35:25.933000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2019-08-27 13:29:49.120000,YYYY-MM-DD HH24:MI:SS.FF,univ05,1,,,,,
2019-08-27 13:29:49.140000,YYYY-MM-DD HH24:MI:SS.FF,univ05,1,,,,,
2019-08-27 17:21:19.578000,YYYY-MM-DD HH24:MI:SS.FF,univ27,1,,,,,
2019-09-26 14:28:22.875000,YYYY-MM-DD HH24:MI:SS.FF,univ36,1,,,,,
2019-08-20 11:32:25.467000,YYYY-MM-DD HH24:MI:SS.FF,univ29,1,,,,,
2019-08-20 11:50:21.900000,YYYY-MM-DD HH24:MI:SS.FF,univ29,1,,,,,
2019-08-20 11:50:21.900000,YYYY-MM-DD HH24:MI:SS.FF,univ29,1,,,,,
2019-08-20 11:50:21.900000,YYYY-MM-DD HH24:MI:SS.FF,univ29,1,,,,,
2019-08-20 11:50:21.900000,YYYY-MM-DD HH24:MI:SS.FF,univ29,1,,,,,
2019-08-28 14:10:53.231000,YYYY-MM-DD HH24:MI:SS.FF,univ31,1,,,,,
2019-08-22 11:57:28.287000,YYYY-MM-DD HH24:MI:SS.FF,univ07,1,,,,,
2019-08-22 11:57:28.287000,YYYY-MM-DD HH24:MI:SS.FF,univ07,1,,,,,
2019-09-10 16:52:51.534000,YYYY-MM-DD HH24:MI:SS.FF,univ04,1,,,,,
2019-09-04 17:48:09.244000,YYYY-MM-DD HH24:MI:SS.FF,univ06,1,,,,,
2019-09-05 15:25:44.845000,YYYY-MM-DD HH24:MI:SS.FF,univ32,1,,,,,
2019-09-23 15:21:32.327000,YYYY-MM-DD HH24:MI:SS.FF,univ19,1,,,,,
2020-02-06 21:54:12.725000,YYYY-MM-DD HH24:MI:SS.FF,univ08,1,,,,,
2020-02-06 21:54:12.722000,YYYY-MM-DD HH24:MI:SS.FF,univ08,1,,,,,
2019-08-16 10:39:03.668000,YYYY-MM-DD HH24:MI:SS.FF,univ12,1,,,,,
2021-04-30 16:23:54.045000,YYYY-MM-DD HH24:MI:SS.FF,univ09,1,,,,,
2019-08-29 14:21:57.040000,YYYY-MM-DD HH24:MI:SS.FF,univ21,1,,,,,
2021-04-30 16:23:54.042000,YYYY-MM-DD HH24:MI:SS.FF,univ09,1,,,,,
2019-09-23 17:28:45.983000,YYYY-MM-DD HH24:MI:SS.FF,univ39,1,,,,,
2019-09-05 18:16:28.838000,YYYY-MM-DD HH24:MI:SS.FF,univ39,1,,,,,
2019-09-23 17:27:50.690000,YYYY-MM-DD HH24:MI:SS.FF,univ39,1,,,,,
2019-09-05 18:16:28.843000,YYYY-MM-DD HH24:MI:SS.FF,univ39,1,,,,,
2019-09-05 18:16:28.845000,YYYY-MM-DD HH24:MI:SS.FF,univ39,1,,,,,
2019-09-06 15:04:45.605000,YYYY-MM-DD HH24:MI:SS.FF,univ30,1,,,,,
2019-09-09 15:43:08.422000,YYYY-MM-DD HH24:MI:SS.FF,univ40,1,,,,,
2021-08-31 16:40:16.115000,YYYY-MM-DD HH24:MI:SS.FF,univ40,1,,,,,
2019-09-30 09:25:15.866000,YYYY-MM-DD HH24:MI:SS.FF,univ34,1,,,,,
2019-10-01 11:21:15.858000,YYYY-MM-DD HH24:MI:SS.FF,univ25,1,,,,,
2019-10-01 11:21:15.864000,YYYY-MM-DD HH24:MI:SS.FF,univ25,1,,,,,
2019-10-01 11:21:15.866000,YYYY-MM-DD HH24:MI:SS.FF,univ25,1,,,,,
2020-02-03 16:16:57.274000,YYYY-MM-DD HH24:MI:SS.FF,univ26,1,,,,,
2020-02-03 16:16:57.290000,YYYY-MM-DD HH24:MI:SS.FF,univ26,1,,,,,
2020-02-03 16:16:57.290000,YYYY-MM-DD HH24:MI:SS.FF,univ26,1,,,,,
2019-08-16 15:29:39.514000,YYYY-MM-DD HH24:MI:SS.FF,univ23,1,,,,,
2019-08-12 14:21:31.145000,YYYY-MM-DD HH24:MI:SS.FF,univ35,1,,,,,
2019-08-28 14:08:50.756000,YYYY-MM-DD HH24:MI:SS.FF,univ31,1,,,,,
2019,UNIV10,1,가톨릭관동대학교 국제성모병원,우)22711 /인천광역시 서구 심곡로 100번길 25,1600-8291,591,1,
2019-08-21 14:39:35.937000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,1
2019-08-21 14:49:20.988000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2019-08-21 14:49:20.988000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2019-08-21 14:49:21.003000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2019-08-21 14:49:21.003000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2019-08-21 14:49:21.003000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2019-08-21 14:49:21.003000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2019-08-21 14:49:21.003000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2019-08-21 14:49:21.003000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2019-08-27 10:50:53.335000,YYYY-MM-DD HH24:MI:SS.FF,univ03,1,,,,,
2019-10-29 16:43:03.657000,YYYY-MM-DD HH24:MI:SS.FF,univ15,1,,,,,
2019-10-29 16:43:03.673000,YYYY-MM-DD HH24:MI:SS.FF,univ15,1,,,,,
2019-11-06 15:43:53.892000,YYYY-MM-DD HH24:MI:SS.FF,univ20,1,,,,,
2019-11-06 15:42:06.829000,YYYY-MM-DD HH24:MI:SS.FF,univ20,1,,,,,
2019-11-06 15:52:48.911000,YYYY-MM-DD HH24:MI:SS.FF,univ20,1,,,,,
2019-11-06 15:42:06.831000,YYYY-MM-DD HH24:MI:SS.FF,univ20,1,,,,,
2020-02-07 14:59:39.344000,YYYY-MM-DD HH24:MI:SS.FF,univ13,1,,,,,
2020-01-10 10:30:06.425000,YYYY-MM-DD HH24:MI:SS.FF,univ22,1,,,,,
2020-01-10 10:30:06.427000,YYYY-MM-DD HH24:MI:SS.FF,univ22,1,,,,,
2020-01-17 14:26:12.964000,YYYY-MM-DD HH24:MI:SS.FF,univ10,1,,,,,
2019-07-15 09:57:46.471000,YYYY-MM-DD HH24:MI:SS.FF,univ33,1,,,,,
2019-08-08 16:40:46.824000,YYYY-MM-DD HH24:MI:SS.FF,univ14,1,,,,,
2019-08-01 16:43:23.663000,YYYY-MM-DD HH24:MI:SS.FF,univ24,1,,,,,
2019-08-01 16:47:08.376000,YYYY-MM-DD HH24:MI:SS.FF,univ24,1,,,,,
2019-08-30 09:56:35.123000,YYYY-MM-DD HH24:MI:SS.FF,univ18,1,,,,,
2019-08-30 09:56:35.127000,YYYY-MM-DD HH24:MI:SS.FF,univ18,1,,,,,
2019-08-30 09:56:35.125000,YYYY-MM-DD HH24:MI:SS.FF,univ18,1,,,,,
2019-08-05 13:47:41.982000,YYYY-MM-DD HH24:MI:SS.FF,univ16,1,,,,,
2020-11-30 15:32:54.485000,YYYY-MM-DD HH24:MI:SS.FF,univ29,1,,,,,
2020-11-30 15:32:54.488000,YYYY-MM-DD HH24:MI:SS.FF,univ29,1,,,,,
2020-11-30 15:32:54.490000,YYYY-MM-DD HH24:MI:SS.FF,univ29,1,,,,,
2019,UNIV41,3,일산백병원,경기도 고양시 일산서구 주화로 170,031-910-7114,647,1,
2019,UNIV41,4,해운대백병원,부산광역시 해운대구 해운대로 875,051-797-0114,906,1,
2019,UNIV17,1,아주대학교병원,경기도 수원시 영통구 월드컵로 164,1688-6114,1187,1,
2019,UNIV37,5,한림대학교춘천성심병원,강원도 춘천시 삭주로 77,033-240-5000,500,1,
2019,UNIV37,3,한림대학교동탄성심병원,경기도 화성시 큰재봉길 7,1522-2500,680,1,
2019,UNIV37,2,한림대학교강남성심병원,서울시 영등포구 신길로 1,1577-5587,600,1,
2019,UNIV37,1,한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22,031-380-1500,830,1,
2019,UNIV37,4,한림대학교한강성심병원,서울특별시 영등포구 버드나루로7길 12,02-2639-5114,300,1,
2020-08-11 14:14:11.489000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,,,,,
2020-08-11 14:14:11.489000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,,,,,
2019,UNIV18,1,강남세브란스병원,서울특별시 강남구 언주로 211,1599-6114,816,1,
2019,UNIV18,2,세브란스병원,서울특별시 서대문구 연세로 50-1,1599-1004,2437,1,
2020-10-26 16:00:30.171000,YYYY-MM-DD HH24:MI:SS.FF,univ04,1,,,,,
2019,UNIV36,1,조선대학교병원,광주광역시 동구 필문대로 365,062-220-3114,849,1,
2019,UNIV12,1,동아대병원,부산광역시 서구 대신공원로 26,051)240-2000,1012,1,
2020-09-28 12:00:44.129000,YYYY-MM-DD HH24:MI:SS.FF,univ32,1,,,,,
2020-08-13 16:44:41.666000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,1
2020-09-24 14:50:34.006000,YYYY-MM-DD HH24:MI:SS.FF,univ36,1,,,,,
2020-09-22 20:21:26.857000,YYYY-MM-DD HH24:MI:SS.FF,univ10,1,,,,,
2020-09-25 08:46:41.693000,YYYY-MM-DD HH24:MI:SS.FF,univ15,1,,,,,
2020-09-25 08:46:41.693000,YYYY-MM-DD HH24:MI:SS.FF,univ15,1,,,,,
2020-09-21 11:11:03.278000,YYYY-MM-DD HH24:MI:SS.FF,univ12,1,,,,,
2019,UNIV15,1,삼성창원병원,경남 창원시 마산회원구 팔용로 158,055-233-8899,720,1,
2020-09-10 14:33:23.065000,YYYY-MM-DD HH24:MI:SS.FF,univ14,1,,,,,
2020-11-03 17:17:51.180000,YYYY-MM-DD HH24:MI:SS.FF,univ17,1,,,,,
2020-11-03 17:17:51.182000,YYYY-MM-DD HH24:MI:SS.FF,univ17,1,,,,,
2020-12-31 10:45:33.966000,YYYY-MM-DD HH24:MI:SS.FF,univ13,1,,,,,
2021-08-27 13:30:13.206000,YYYY-MM-DD HH24:MI:SS.FF,univ41,1,,,,,
2021-08-27 13:30:13.208000,YYYY-MM-DD HH24:MI:SS.FF,univ41,1,,,,,
2020,UNIV40,1,2019병원,서울 성북구 12,2019,2019,1,
2020,UNIV40,2,2019병원2,서울 영등포구 24,2020,2020,1,
2021-09-07 15:07:16.927000,YYYY-MM-DD HH24:MI:SS.FF,univ24,1,,,,,
2021-09-25 23:50:44.068000,YYYY-MM-DD HH24:MI:SS.FF,univ23,1,,,,,
2020,UNIV32,1,구미차병원,경북 구미시 신시로10길 12,054-450-9700,290,1,
2020,UNIV08,1,고려대학교 구로병원,서울시 구로구 구로동로 148,02-2626-1114,1075,1,
2020,UNIV08,2,고려대학교 안산병원,경기도 안산시 단원구 적금로 123,031-412-5114,804,1,
2020,UNIV08,3,고려대학교 안암병원,서울시 성북구 고려대로 73,1577-0083,1023,1,
2020,UNIV09,1,고신대학교 복음병원,부산광역시 서구 감천로 262,051-990-6114,957,1,
2020,UNIV04,1,건양대학교병원,대전 서구 관저동로 158,1577-3330,,1,
2021-09-29 19:33:58.347000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,1
2021-09-29 19:33:58.349000,YYYY-MM-DD HH24:MI:SS.FF,univ39,2,,,,,
2020,UNIV05,1,칠곡경북대학교병원,대구 북구 호국로 807,1566-2500,557,1,
2020,UNIV05,2,경북대학교 병원,대구 중구 동덕로 130,1666-5114,842,1,
2020,UNIV24,1,전남대학교병원,광주 동구 제봉로 42,1899-0000,1087,1,
2020,UNIV24,2,화순전남대학교병원,화순군 화순읍 서양로 322,1899-0000,684,1,
2021-09-15 09:16:43.906000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2021-09-14 10:34:52.637000,YYYY-MM-DD HH24:MI:SS.FF,univ31,1,,,,,
2021-09-15 09:16:43.900000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2021-09-15 09:16:43.904000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2021-09-15 09:16:43.908000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2021-09-15 09:16:43.910000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2021-09-15 09:16:43.912000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2021-09-15 09:16:43.915000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2021-09-15 09:16:43.919000,YYYY-MM-DD HH24:MI:SS.FF,univ02,1,,,,,
2021-09-29 14:38:25.177000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,,,,,
07985) 서울특별시 양천구 안양천로 1071,1666-5000,1,,,,,,
2020,UNIV37,5,한림대학교춘천성심병원,강원도 춘천시 삭주로 77,033-240-5000,500,1,
