year,univ_cd,program_seq,program_nm,program_gb,program_cmt
2020-08-11 15:17:41.964000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,
2019,UNIV18,1,진로개발특강,4,의대 졸업 이후의 진로설계에 대한 다양한 이력과 경력의 강사들의 특강
2019,UNIV14,4,패널조사 및 심층 관리,2,신입생/진입생 대상 정신건강
2019,UNIV14,7,자기사랑배우기,2,우울
2019,UNIV14,3,정신과적 진료 및 면담,2,정신건강의학과 전문의에 의해 정신과적 진료 및 치료를 1:1 맞춤으로 진행함.
2019,UNIV14,6,의대생에게 맞춤화된 커뮤니케이션 능력향상프로그램,3,의사-환자 대화에 초점을 둔 의사소통 능력 함양 프로그램
2019,UNIV14,12,학습 코칭,1,학생들의 주도적 학습능력 배양 및 개인별 맞춤화된 학습방법 습득-개발 지원
2019,UNIV14,5,정신건강 스크리닝 검사 및 관리,2,학업소진에 대한 검사 시행 후
2019,UNIV14,10,마로니에 열린 강좌,3,인간에 대한 인문학적 지혜를 배양하여 전인적인 인성 발달을 도모하는 인문예술초청강좌
2019,UNIV14,1,피어 튜터링,1,의대 학생들의 학습성향 평가 후  이에 따른 선후배 간 매칭으로 학습방법 공유 및 지지체계 형성 도모
2019,UNIV14,8,공감을 부탁해,3,정서 인식
2019,UNIV14,9,나에게 귀 기울이기,3,요가와 명상을 통해 신체적 이완경험과 정서적 안정감 증진
2019,UNIV14,2,심리상담 및 심리평가,2,임상심리전문가에 의해 심리상담 및 심리평가를 1:1 맞춤으로 진행함.
2020-09-16 09:05:48.894000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2020-09-16 09:05:48.894000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2020-09-16 09:05:48.894000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
의과대학 축제 및 전시회,체육대회,신입생 환영 MT인 ‘새터’ 행사 등,,,
2019,UNIV05,5,학내 및 학외 상담프로그램,2,상담실 운영
2019,UNIV05,10,동창회 강연 프로그램,4,경북대학교 의과대학 동창회에서 주최하는 강연을 통해 개원 동문선배 및 사회 저명인사들의 경험담을 학생들에게 제공
2019,UNIV05,6,학술연구활동,1,기초교실 학생 교실원 제도 운영
2019,UNIV05,3,신입생 간담회,1,매년 3월 말 멘토교수와  신입생이 함께하는 신입생 간담회를 시행
2019,UNIV05,9,동아리 활동,3,공연
2019,UNIV05,4,예비의사 진로세미나,4,의학과 4학년을 대상으로 졸업 전 본인 진로에 대해 교수들과 이야기를 나눌 수 있는 행사
2019,UNIV05,8,정신심리검사,2,예과 1학년
2019,UNIV05,1,국시대비 지원프로그램,1,의학과 4학년 중 학습성취도가 낮은 학생을 대상으로 교수 면담을 통해 학습동기를 유발하고
멘토-멘티제) 및 동아리 지도교수제를 두어 학년별,그룹별 및 개인별로 학습,생활,및 진로를 지원하고 있음.,,
2019,UNIV39,5,의학계열 연구활동종사자 보험,1,임상 실습시 병원 환자군에 대비하여 보험 가입
2019,UNIV39,3,무료 법률 상담,1,학생들의 일상생활 및 학교생활 중에 발생하는 각종 법적인 문제에 관한 무료 법률 상담 제공
MBTI),1,의과대학 재학생들의 심리상태를 파악하고 학업 및 생활지도에 이용,,,
2019,UNIV39,4,학생상해보험,1,교내 수업
2019,UNIV39,1,학생상담프로그램,1,지도교수 배정 후 학생 생활 및 학업 관리
