year,univ_cd,jidogyosu_gb,jidogyosu_seq,jidogyosu_yn,jido_haksengsu,jidogyosu_gita_txt,bigo
2019,UNIV18,1,1,,,,
2020-09-16 09:07:10.437000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,
2019,UNIV14,1,1,1,5,,
2019,UNIV31,1,1,1,4,,
2020-09-21 15:55:11.960000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2020-09-21 15:55:11.960000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2020-09-21 15:55:11.960000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2020-09-21 15:55:11.960000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2020-09-21 15:55:11.960000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2019,UNIV05,1,1,1,6,,
2019,UNIV26,1,1,1,5,,
2019,UNIV26,9,1,1,43,학년지도교수,기타
2020-08-18 11:48:10.518000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,
2020-08-25 13:30:33.076000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,
2019,UNIV24,1,1,1,5,,
2020-09-17 15:09:28.710000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2020-09-17 15:09:28.710000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2020-09-17 15:09:28.710000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2019,UNIV25,1,1,1,4,,
2020-12-24 16:03:01.259000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,
2019-08-23 14:08:07.177000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,
2019-08-20 11:25:05.041000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,
2019-08-20 11:25:05.057000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,
2019-08-20 14:37:02.113000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2019-08-20 14:37:02.129000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2019-08-22 11:59:53.744000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,
2019-09-05 15:38:40.978000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,
2020-01-15 08:25:19.694000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,
2019-10-18 14:11:13.187000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,
2019-10-31 15:59:17.431000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,
2019,UNIV10,1,1,1,9,,
2019-08-12 14:02:22.663000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,
2019-08-21 17:46:50.674000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-08-30 20:26:18.052000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,
2019-09-03 17:30:52.295000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,
2019-09-05 15:40:53.429000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2019-09-10 16:55:54.015000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,
2019-09-26 16:30:22.925000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,
2019-09-27 15:22:26.485000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2019-09-27 15:25:56.085000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2019-09-27 15:26:27.749000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2020-02-03 16:18:22.008000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,
2019-08-12 15:03:50.950000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,
2019-08-12 15:03:50.953000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,
2019-08-13 16:40:23.837000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,
2019-08-16 15:35:50.374000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,
2019-08-16 15:35:50.377000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,
2019-08-26 11:23:53.366000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,
2019-08-26 11:23:53.366000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,
2019-08-27 11:02:32.630000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,
2019-09-11 11:12:01.219000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,
2020-02-14 16:24:18.470000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,
2019-11-05 17:29:08.709000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,
2020-01-10 10:41:33.053000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,
2020-01-10 10:41:33.056000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,
2020-01-17 14:27:35.879000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,
2020-01-13 14:54:02.279000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,
2019-08-06 17:11:13.032000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,
2019-07-15 09:54:26.256000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,
2019-08-06 10:49:08.994000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,
2019-07-17 15:00:21.764000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,
2019-07-23 13:29:57.506000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,
2020-11-30 15:00:14.500000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,
2019,UNIV04,1,1,1,3,,
2020-09-22 09:59:25.840000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2020-09-23 22:31:24.998000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,
2019,UNIV37,1,1,1,7,,
2019,UNIV36,9,1,1,3,평생지도교수,기타
2019,UNIV12,1,1,1,2,,
2020-08-13 17:06:23.869000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,
2020-08-13 17:13:49.243000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,
2019,UNIV32,1,1,1,1,,
2020-08-13 17:13:59.527000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,
2019,UNIV34,1,1,1,3,,
