year,univ_cd,gyosil_seq,gyosil_gb,inwon_jeonim_tot_gyosu,inwon_jeonim_tot_bugyosu,inwon_jeonim_tot_jogyosu,inwon_jeonim_male_tot,inwon_jeonim_female_tot,inwon_jeonim_tot_tot,inwon_bongyo,inwon_bijeonim_tot,inwon_jeonim_female_jogyosu,inwon_jeonim_female_bugyosu,inwon_jeonim_male_jogyosu,inwon_bi_euihakgwa,inwon_jeonim_male_gyosu,inwon_jeonim_female_gyosu,inwon_jeonim_male_bugyosu,inwon_bijeonim_imsang,inwon_bijeonim_yeongu,inwon_bijeonim_gita
2020,UNIV09,41,41,0,0,0,0,0,0,0,0,,,,,,,,,,
2021-09-14 14:13:49.168000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,,,,,
2020,UNIV09,42,42,0,0,1,0,1,1,0,0,1,,,,,,,,,
2021-09-14 14:03:48.259000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,,,,,
2020,UNIV09,12,12,0,1,1,1,1,2,1,0,,1,1,1,,,,,,
2020,UNIV09,145,45,72,29,67,121,47,168,94,0,21,12,46,20,58,14,17,0,0,0
2020,UNIV09,6,6,1,0,1,1,1,2,0,0,1,,,2,1,,,,,
2020,UNIV09,28,28,2,0,2,4,0,4,2,0,,,2,,2,,,,,
2021-09-14 14:15:42.503000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,,,,,
2021-09-14 14:05:29.233000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,,,,,
2020,UNIV09,15,15,0,0,0,0,0,0,0,0,,,,,,,,,,
2020,UNIV09,39,39,0,0,0,0,0,0,0,0,,,,,,,,,,
2021-09-14 13:28:55.811000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,,,,,
2020,UNIV09,4,4,3,1,1,1,4,5,3,0,1,1,,,1,2,,,,
2020,UNIV09,40,40,1,0,0,1,0,1,1,0,,,,,1,,,,,
2021-09-14 13:35:42.338000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,,,,,
2020,UNIV09,16,16,3,1,0,3,1,4,,0,,,,4,2,1,1,,,
2021-09-14 14:22:37.240000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,,,,,
2021-09-14 13:58:53.799000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,,,,,
2020,UNIV09,11,11,0,0,0,0,0,0,0,0,,,,,,,,,,
