year,univ_cd,jangbi_gb,jangbi_seq,jangbi_yn,jangbi_cnt
2019,UNIV14,4,1,1,9
2019,UNIV14,12,1,1,33
2019,UNIV14,15,1,1,17
2019,UNIV14,14,1,1,13
2019,UNIV14,3,1,1,8
2019,UNIV14,5,1,1,24
2019,UNIV14,13,1,1,8
2019,UNIV14,9,1,1,3
2019,UNIV14,2,1,1,4
2019,UNIV14,1,1,1,3
2019,UNIV14,8,1,1,2
2019,UNIV14,10,1,1,1
2019,UNIV14,7,1,1,3
2019,UNIV14,6,1,1,9
2020-08-21 11:02:04.333000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.336000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.338000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.340000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.341000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.343000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.345000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.349000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.351000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.353000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.354000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.356000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2020-08-21 11:02:04.358000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2019,UNIV31,5,1,1,8
2020-11-13 15:58:16.971000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019,UNIV31,4,1,1,11
2019,UNIV31,7,1,0,
2019,UNIV31,2,1,1,1
2019,UNIV31,9,1,0,
2019,UNIV31,1,1,1,1
2020-11-13 15:59:08.611000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019,UNIV31,3,1,1,4
2019,UNIV31,15,1,1,8
2019,UNIV31,10,1,0,
2019,UNIV31,6,1,1,5
2019,UNIV31,12,1,1,74
2020-11-13 15:58:34.081000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019,UNIV39,13,1,1,2
2019,UNIV39,2,1,1,4
2019,UNIV39,3,1,1,4
2019,UNIV39,4,1,1,3
2019,UNIV39,10,1,1,12
2019,UNIV39,9,1,0,
2019,UNIV39,14,1,1,6
2019,UNIV39,8,1,0,
2019,UNIV39,5,1,1,3
2019,UNIV39,15,1,1,2
2019,UNIV39,7,1,0,
2019,UNIV39,1,1,1,1
2019,UNIV39,6,1,1,3
2020-09-21 13:35:20.802000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,
2019,UNIV21,5,1,1,3
2019,UNIV21,3,1,1,2
2019,UNIV21,4,1,1,2
2019,UNIV21,10,1,1,13
2019,UNIV21,12,1,1,8
2019,UNIV21,13,1,1,2
2019,UNIV21,14,1,1,3
2019,UNIV21,2,1,1,2
2019,UNIV21,15,1,1,2
2019,UNIV21,6,1,1,2
2019,UNIV26,9,1,0,
2019,UNIV26,2,1,1,16
2019,UNIV26,1,1,1,11
2019,UNIV26,5,1,1,4
2019,UNIV26,13,1,1,5
2019,UNIV26,3,1,1,17
2019,UNIV26,12,1,1,10
2019,UNIV26,7,1,1,1
2019,UNIV26,14,1,1,4
2019,UNIV26,6,1,1,3
2019,UNIV26,10,1,1,112
2019,UNIV26,15,1,1,2
2019,UNIV26,4,1,1,3
2019,UNIV41,10,1,1,1
2019,UNIV41,3,1,1,8
2019,UNIV41,14,1,1,13
2019,UNIV41,1,1,1,1
2019,UNIV41,5,1,1,13
2019,UNIV41,7,1,0,
2019,UNIV41,13,1,1,8
2019,UNIV41,6,1,1,6
2019,UNIV41,15,1,1,6
2019,UNIV41,12,1,1,60
2019,UNIV41,4,1,1,6
2019,UNIV41,2,1,1,2
2019,UNIV25,9,1,0,
2019,UNIV25,1,1,1,2
2019,UNIV25,15,1,0,
2019,UNIV25,5,1,1,4
2019,UNIV25,3,1,1,6
2019,UNIV25,14,1,1,4
2019,UNIV25,6,1,1,8
2019,UNIV25,13,1,1,6
2019,UNIV25,7,1,0,
2019,UNIV25,4,1,1,10
2019,UNIV25,8,1,0,
2019,UNIV25,2,1,1,4
2019,UNIV25,10,1,1,1
2019,UNIV25,12,1,1,1
2020-01-30 11:21:32.393000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.408000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.424000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.440000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.440000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.440000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.455000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.455000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.455000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.471000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.502000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-01-30 11:21:32.502000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2020-02-12 15:03:03.692000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.692000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.708000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.723000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.723000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-12 15:03:03.723000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2019-08-22 10:01:11.421000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:01:11.421000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:01:11.421000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.808000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.823000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.839000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-22 10:05:02.839000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-30 11:33:05.100000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.103000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:34:43.929000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.108000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.110000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.112000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.114000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.117000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.119000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.121000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.123000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.126000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.130000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 11:33:05.132000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-30 14:51:46.616000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-09-09 11:12:09.487000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.519000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 11:12:09.534000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-10 14:28:34.113000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-10 14:28:34.128000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
