year,univ_cd,room_gb,room_gb_seq,room_cnt,gebang_stm,gebang_etm,room_gb_etc_txt
2020-08-25 13:43:51.773000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,
2020-08-25 13:43:51.773000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,
2019,UNIV31,1,1,8,00:00,23:59,
2019,UNIV31,2,1,1,--:--,--:--,
2019,UNIV11,1,1,12,00:00,23:59,
2019,UNIV11,2,1,1,08:00,22:00,
2020-09-21 14:07:36.451000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2020-09-16 16:16:10.016000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2019,UNIV34,1,1,10,00:00,23:59,
2019,UNIV34,2,1,,:,:,
2020-09-24 17:54:51.246000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,
2020-08-22 18:17:11.296000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,
2019,UNIV21,1,1,4,00:00,23:59,
2020-09-28 13:15:43.116000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,
2019,UNIV26,1,1,9,:,:,
2019,UNIV10,1,1,8,08:00,17:30,
2019,UNIV10,2,1,1,08:30,17:00,
2020-01-30 15:24:23.352000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,
2020-02-12 15:18:37.172000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,
2019-08-13 17:23:12.570000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,
2019-08-13 17:23:12.574000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,
2019-08-20 10:33:24.415000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,
2019-08-20 10:33:32.571000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,
2019-08-28 16:12:24.448000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,
2019-08-28 16:12:24.449000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,
2019-08-20 18:02:47.710000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2019-08-20 17:56:11.416000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2019-08-20 17:56:11.416000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2019-08-21 17:33:08.864000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,
2019-08-22 11:06:50.555000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,
2019-08-22 11:06:50.571000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,
2019-09-02 17:38:33.035000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,
2019-09-02 17:38:33.039000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,
2019-09-05 17:10:50.959000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2019-09-05 17:10:50.968000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2019-08-21 09:01:50.207000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-08-21 09:01:50.223000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-08-30 20:38:12.321000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,
2019-08-29 14:30:33.755000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,
2019-08-30 20:38:12.319000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,
2019-09-10 15:22:32.320000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,
2019-09-10 15:22:18.927000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,
2019-09-03 13:17:01.368000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,
2019-09-03 13:17:01.371000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,
2019-09-04 11:41:00.600000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,
2019-09-04 11:07:16.825000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,
2019-09-11 14:24:22.779000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,
2019-09-23 17:11:09.853000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,
2019-09-23 17:11:09.857000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,
2019-09-30 13:13:54.607000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,
2019-09-30 13:15:16.562000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,
2019-07-24 18:03:37.723000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,
2019-07-24 18:03:37.723000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,
2019-08-14 13:51:14.408000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,
2019-08-29 11:07:46.233000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,
2019-08-29 11:11:28.950000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,
2019-08-29 11:11:28.953000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,
2019-08-29 15:09:27.900000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,
2019-09-24 13:25:00.323000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,
2019-09-24 13:26:45.253000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,
2019-10-30 08:58:37.798000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,
