year,univ_cd,upmu_gb,inwon_gita,inwon_tot,inwon_jeonggyu,inwon_bijeonggyu
2020-08-13 15:04:27.062000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2020-08-13 15:04:27.062000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2020-08-13 15:04:27.062000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2020-08-13 15:04:27.062000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2020-08-13 15:04:27.062000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2020-08-13 15:04:27.062000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2020-08-13 15:04:27.078000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2020-08-13 15:04:27.078000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2020-08-13 15:04:27.078000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019,UNIV15,7,1,1,,
2019,UNIV15,5,,2,1,1
2019,UNIV15,11,,1,,1
2019,UNIV15,3,1,7,1,5
2019,UNIV15,1,1,2,1,
2019,UNIV15,4,,5,2,3
2019,UNIV15,10,,2,2,
2019,UNIV15,8,,3,1,2
2019,UNIV15,6,,3,,3
2020-09-21 15:53:08.187000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2020-09-21 15:53:08.187000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2020-09-21 15:53:08.203000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2020-09-21 15:53:08.203000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2020-09-21 15:53:08.203000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2020-09-21 15:53:08.203000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2020-09-21 15:53:08.203000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2020-09-21 15:53:08.203000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2020-09-24 15:07:44.098000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2020-09-24 15:07:44.113000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2020-09-24 15:07:44.113000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2020-09-24 15:07:44.113000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2020-09-24 15:07:44.113000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2020-09-24 15:07:44.113000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2020-09-24 15:07:44.113000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2020-09-24 15:07:44.113000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019,UNIV21,9,,4,1,3
2019,UNIV26,5,,3,3,
2019,UNIV26,4,,1,1,
2019,UNIV26,7,2,2,,
2019,UNIV26,8,,2,2,
2019,UNIV26,3,,3,3,
2019,UNIV26,2,,2,2,
2019,UNIV26,9,,1,,1
2019,UNIV26,1,,2,2,
2020-12-31 11:54:17.417000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-12-31 11:54:17.423000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-12-31 11:54:17.425000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-12-31 11:54:17.426000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-12-31 11:54:17.428000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-12-31 11:54:17.430000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-12-31 11:54:30.153000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-01-23 09:37:19.678000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 09:47:46.752000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 10:20:16.733000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 10:20:16.749000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 09:37:19.678000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 09:41:17.636000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 10:18:27.416000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 10:18:27.416000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 09:37:19.694000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 10:20:16.749000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2020-01-23 10:16:22.811000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2019-08-27 16:44:39.289000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,
2019-08-27 16:44:39.292000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,
2019-08-27 16:44:39.294000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,
2019-08-27 16:44:39.296000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,
2019-08-27 16:44:39.298000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,
2019-08-27 16:44:39.300000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,
2019-08-27 16:44:39.302000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,
2019-08-27 16:44:39.305000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,
2019-09-25 16:29:15.989000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019-09-25 16:25:43.440000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019-09-25 16:25:43.442000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019-09-25 16:25:43.444000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019-09-25 16:28:17.875000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019-09-25 16:25:43.448000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019-09-25 16:25:43.450000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019-09-25 16:25:43.452000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019-09-25 16:29:23.868000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,
2019-09-27 10:03:08.762000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,
2019-09-27 10:04:19.779000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,
2019-09-27 10:36:18.758000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,
2019-09-27 10:03:08.769000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,
2019-09-27 10:37:27.763000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,
2019-09-27 10:37:53.444000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,
2019-09-27 10:03:08.775000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,
2019-09-27 10:03:08.778000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,
2019-09-27 10:37:53.447000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,
2019-09-25 10:52:14.051000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-08-30 20:46:02.574000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,
2019-08-30 20:46:11.131000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,
2019-08-30 20:46:02.579000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,
2019-08-30 20:46:02.581000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,
2019-08-30 20:46:02.584000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,
2019-08-30 20:46:02.586000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,
2019-09-04 17:58:23.489000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,
2019-09-04 17:58:23.493000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,
2019-09-04 17:58:23.495000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,
2019-09-04 17:58:23.497000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,
2019-09-05 15:13:25.156000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019-09-05 15:13:25.160000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019-09-05 15:16:12.853000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019-09-05 15:15:12.571000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019-09-05 15:13:25.167000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019-09-05 15:13:25.169000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019-09-05 15:13:25.172000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019-09-05 15:13:25.174000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019-09-23 15:29:45.073000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-09-27 18:16:44.655000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-09-23 15:29:45.079000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-10-02 16:16:17.143000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-10-02 16:15:26.963000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-10-02 16:15:26.960000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-09-27 18:16:44.649000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-10-02 16:15:26.952000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-10-02 16:15:26.966000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-10-02 16:15:26.969000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-09-27 18:16:44.646000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019-10-18 17:22:32.334000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2019-10-18 17:22:32.378000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2019-10-18 17:22:50.223000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2020-02-06 22:08:48.964000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,
2020-02-06 22:07:57.588000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,
2020-02-06 22:07:57.591000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,
2020-02-06 22:07:57.592000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,
2020-02-06 22:07:57.595000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,
2020-02-06 22:07:57.597000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,
2020-02-06 22:07:57.599000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,
2020-02-06 22:07:57.603000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,
2020-02-06 22:07:57.606000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,
2019-08-19 13:06:55.948000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019-08-19 13:10:35.541000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019-08-19 13:19:01.188000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019-08-19 13:06:55.961000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019-08-19 13:06:55.963000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019-08-19 13:06:55.965000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019-08-19 13:06:55.967000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019-08-19 13:06:55.970000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019-08-21 17:28:28.805000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,
2019-08-21 17:28:28.805000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,
2019-08-21 17:28:28.805000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,
2019-08-21 17:28:28.805000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,
2019-08-21 17:28:28.805000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,
2019-08-21 17:28:28.820000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,
2019-08-22 17:33:16.862000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,
2019-08-28 16:21:08.220000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,
2019-08-22 17:33:16.868000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,
2019-08-22 17:33:16.870000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,
2019-08-22 17:33:16.872000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,
2019-08-28 18:32:37.632000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019-08-28 18:32:37.636000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019-08-28 18:33:54.969000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019-08-28 18:37:11.570000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019-08-28 18:32:37.643000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019-08-28 18:32:37.647000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019-08-28 18:35:47.891000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019-08-28 18:34:56.207000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019-08-28 18:32:44.461000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019-08-29 14:33:43.422000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019-08-29 14:33:43.425000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019-08-29 14:33:43.427000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019-08-29 14:33:43.431000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019-08-29 14:33:43.434000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019-08-29 14:33:43.436000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019-08-29 14:33:43.438000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019-08-29 14:34:33.993000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019-09-23 15:03:53.523000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2019-09-23 15:05:41.734000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2019-09-23 15:05:41.732000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2019-09-23 15:05:41.728000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2019-10-18 17:22:50.225000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2019-09-23 15:03:53.537000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2019-10-18 17:22:32.376000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2019-09-27 15:43:52.268000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,
2019-09-27 15:51:27.608000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,
2019-09-27 15:51:27.611000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,
2019-09-27 15:51:27.614000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,
2019-09-27 15:53:13.808000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,
2019-09-27 15:51:27.620000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,
2019-08-14 14:04:07.019000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.035000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.037000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.040000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.042000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.044000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.046000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.048000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:12:07.167000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:18.209000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:07.177000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:07.179000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:50.320000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:07.184000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:34.569000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:42.453000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-09-25 10:52:14.056000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.058000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.060000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.062000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.065000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:55:48.135000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.073000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.053000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-08-26 17:00:13.046000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,
2019-08-26 17:00:13.048000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,
2019-08-27 13:19:37.551000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.553000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-29 10:18:08.174000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.558000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-29 10:18:08.177000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.562000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.564000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.566000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-29 10:18:08.179000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
