year,univ_cd,campus_seq,campus_nm,univ_zip_cd,univ_juso,daepyo_tel_no,daepyo_fax_no
2020-08-13 10:25:19.719000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,
2019,UNIV13,1,양산캠퍼스,50612,경남 양산시 물금읍 부산대학로 49,,
2019-08-27 14:11:48.329000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-08-27 14:11:29.045000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-08-27 14:11:31.888000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-08-27 14:12:14.144000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-09-30 10:41:13.480000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,
2019-08-21 15:13:49.289000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,
2019-09-02 17:44:19.436000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,
2019-09-18 15:55:06.742000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,
2020-02-05 20:09:10.134000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,
2019-08-16 11:09:48.766000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2019-08-20 14:51:29.246000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,
2019-08-28 18:41:24.773000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2019-09-03 17:04:14.941000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,
2019-09-04 10:58:46.148000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,
2019-09-04 11:01:41.997000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,
2019-09-04 16:02:22.241000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2019-09-05 14:44:19.166000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,
2019-09-10 15:43:08.634000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,
2019-09-10 15:43:08.634000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,
2019-07-24 17:30:31.334000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,
2019-08-20 10:43:28.528000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,
2019-10-29 11:15:01.072000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,
2019-08-20 10:43:28.528000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,
2019-08-21 13:26:32.813000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,
2019-08-21 13:26:32.813000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,
2019-08-23 14:41:38.539000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,
